operation	method	endpoint	action_id	payload_summary	return	pitfall_ref	example
site.create	POST	/sites	7fedc609bd55e0752bd42dcceb274aaf659064eb1b	{"name","description"}	{"data":{"siteId","setupError"}}	-	api.create_site(name, desc)
site.delete	POST	/sites	7f2dd4d43672e0169e117f803d0e1422d880af3bf1	{"id"}	flight(空)	read_sites 为权威	api.delete_site(site_id)
taxonomy.category.create	POST	/{slug}/posts?tab=categories	7f6253b19d9facfe55ee722dee48a3e834b665b6a6	{"siteId","contentType","name","slug","description","order","cover":null|{...}}	{"data":{"id"}}	cover 必显式(ISS-008)/产品=contentType products(ISS-007)	api.create_category2(slug, sid, ...)
taxonomy.tag.create	POST	/{slug}/posts?tab=tags	7fe79a7564f05c77c813a34b52949a44f98704ef8d	{"siteId","contentType","name","slug"}	{"data":{"id"}}	slug 勿与模板重复	api.create_tag(...)
media.upload	POST	/{slug}/media (multipart)	604a958f15a77faf716031fbc33c1f0def20461e3b	_1_files=file; 0=[siteId,"$K1"]	media_urls(累积!取差值)	ISS-019	api.upload_media(...)
media.update	POST	/{slug}/media	7fa3dd69986bb5118a3f57f689958a669350829319	{"id","siteId","title","alt","caption"}	flight	-	api.update_media(...)
product.create	POST	/{slug}/products	7f63f8f470b449afbd792e0403802ceb33b964f4db	product 全字段+{"siteId"}	{"data":{"id"}}(draft)	media 扁平(ISS-021)/siteId(ISS-020)/draft slug=时间戳(ISS-022)	api._create_product_transport(...) [private]
product.publish	POST	/{slug}/products/{id}/update	7f0d6abcdcec492a7e8587539e8d3f12e96a3d19ca	{...product,productId,mode:"publish"}	{"data":{"id","status":"published"}}	同上	api._publish_product_transport(...) [private]
product.delete	POST	/{slug}/products	7ff4cdbd4b0334295d3cc7aba4767889363b4bcb45	{"id","siteId"}	flight	-	api.delete_product(...)
post.create	BLOCKED	/{slug}/posts	7fdfe82861882e4f6ac3cfbf022bac07e0520fdae1	post 全字段+{"siteId"}	ARTICLE_CREATE_BLOCKED_BY_CANONICAL_REGISTRY	历史 wire observation only；当前不可执行	api._create_post_transport(...) raises BLOCKED
post.publish	POST	/{slug}/posts/{id}/update	7f205ad61951b1b4703378159b95d930e7e3f00b42	{...post,postId,mode:"publish"}	{"data":{"id","status":"published"}}	同 product	api._publish_post_transport(...) [private]
post.delete	POST	/{slug}/posts	7f0be1853412ed6d5493ae2e4c1988bd78b88ca81e	{"id","siteId"}	flight	-	api.delete_post(...)
design.commit	POST	/{slug}/themes/{themeId}/{pageId}/design	7ff107025e28118dfb6d8f0da06b3ae64fb0ed74b3	{"siteId","themeId","pageId","intent","pageDocument","globals","themeConfig"}	save->{"data":{"intent":"save"}}/publish->flight	globals 按页存(ISS-003)/模板页可编辑	api.save_home(...)
auth.login	POST	{page}?next-action header	7f04a5d5c7ef3131a5a72bb56a236ef60fe8498749	{"email","password","rememberMe"?}	Set-Cookie payload-token(成功分支未实测)	真实密码实测	AllinCMS.login(...)
read.sites	GET	/sites?_rsc	-	-	{data:[],pagination}	需 RSC:1 header	api.read_sites()
read.posts	GET	/{slug}/posts?_rsc	-	-	{data,categoryOptions,tagOptions,pagination}	-	api.read_lists(slug,"posts")
read.products	GET	/{slug}/products?_rsc	-	-	同上	-	api.read_lists(slug,"products")
read.pages	GET	/{slug}/themes/{themeId}?_rsc	-	-	{pages,routes}	-	api.read_pages(...)
read.design	GET	/{slug}/themes/{themeId}/{pageId}/design?_rsc	-	-	initialPayload.page.{document,globals,themeConfig}	双层包裹(ISS-010)	api.read_page_document(...)
read.product	GET	/{slug}/products/{id}/update?_rsc	-	-	defaultValues	-	api.read_product(...)
read.post	GET	/{slug}/posts/{id}/update?_rsc	-	-	defaultValues	-	api.read_post(...)
read.media	GET	/{slug}/media?_rsc	-	-	mediaLibraryItems	-	api.read_media_library(...)
read.siteinfo	GET	/{slug}/site-info?_rsc	-	-	{site,user,sites}	-	api.read_site_info(...)
product.mutate_reviewed	CONTROLLED	internal wrapper	-	business payload + strict review record + site/target/create|update	result + review context + business/wire digests	ISS-102	api.mutate_reviewed_product(...)
post.mutate_reviewed	CONTROLLED	internal wrapper	-	final business payload + strict review record + fresh capability + exact existing target ID（update only；article.create BLOCK）	result + review context + business/wire digests	ISS-102	api.mutate_reviewed_post(...)
