id	kind	scope	name	path	status	scripts	tags	description	when_to_read
DOC-001	doc	kit	工具包总览（读写方案+换机指南）	../README.md	current	allincms_api.py;allincms_blocks.py;site_pipeline.py;scan/scan-actions.py	overview;onboarding;cross-platform	零依赖纯接口工具包：写=server action，读=RSC 流；端点矩阵；CLI；换电脑(mac/win)指南；Runtime Forms 章节	上手、换机、对新环境快速导入
DOC-002	doc	kit	0→1 建站上线 SOP	../ONBOARDING-PIPELINE.md	current	allincms_api.py;site_pipeline.py;allincms_blocks.py	workflow;sop;launch	资料→brief→validate→generate→执行→globals 全站→验收三步；参考 ID；坑清单；换机快速开始	承接公司/产品文档建新站前必读
DOC-003	doc	kit	单页模块规范（Blocks Library）	../MODULES.md	current	allincms_blocks.py;site_pipeline.py	modules;schema;frontend;backfill	20 种页面模块+4 全局模块 schema/嵌套结构/前端显示映射/服务端回填坑/模板词自检表	设计器组装页面、排查模块字段时
DOC-004	doc	kit	模板资产使用说明	../templates/README.md	current	-	templates;payload	真实读回产物作字段参照：产品/文章 payload example、页面三件套、brief-schema	照模板填新站字段时
DOC-005	doc	kit	索引体系说明（本目录）	INDEX.md	current	index/registry_tools.py	index;registry	三张 TSV 主索引+自动生成的阅读页；查询/更新规则见文内	任何"找文档/找问题/找模块"的第一步
SCRIPT-001	script	kit	AllinCMS 纯接口客户端	../allincms_api.py	current	-	api;rsc;write;read	零依赖客户端：写(站点/分类/标签/媒体/产品/文章/设计器)+读(RSC 9 路+CLI 8 命令)；action id 常量表	所有执行操作
SCRIPT-002	script	kit	模块构建器	../allincms_blocks.py	current	-	modules;builder;json	hero/carousel/category/feature/product/material/proof/news/faq/newsletter/contact+公司页/联系页 builder+page_document 组装	生成页面 document/globals
SCRIPT-003	script	kit	建站流水线工具	../site_pipeline.py	current	-	cli;validate;generate;check;diff	validate(含 3/4 数量门)/generate/check(模板词)/diff(readback)/gate(一键门)/contact(demo 联系方式门)/audit(13 项一体对抗审计+JSON 报告：http/count/root-home/form-render/空态/模板词/demo联系方式/FAQ答案SSR/真实CTA/单位/绝对化/Markdown/h2语义)	构建前校验、上线前自检、readback 比对
SCRIPT-004	script	kit	action id 扫描器	../scan/scan-actions.py	current	-	action-id;deploy	从页面/工作台 chunk 扫 createServerReference 得当前部署 action id	换部署/升级后必跑
SCRIPT-005	script	kit	索引工具（registry）	registry_tools.py	current	-	index;cli	verify(引用存在/id 唯一/枚举合法)/gen(生成 INDEX.md)/ls/find(关键词查询)/add(安全追加)	维护索引、查询文档
TPL-001	template	kit	产品 payload 参照	../templates/product-payload-example.json	current	-	payload;product	defaultValues 全字段(name/slug/description/order/media/mediaList/categories/tags/specifications/content)	构建产品 payload
TPL-002	template	kit	文章 payload 参照	../templates/post-payload-example.json	current	-	payload;post;slate	defaultValues 全字段(title/slug/excerpt/order/coverImage/categories/tags/content Slate)	构建文章 payload
TPL-003	template	kit	首页三件套参照	../templates/home-page-example.json	current	-	payload;page;document	pageDoc+globals+themeConfig 完整示例（11 模块真实结构）	组装首页/复刻结构
TPL-004	template	kit	公司页三件套参照	../templates/about-page-example.json	current	-	payload;page;company	about-intro/story/stats/values/team 真实结构	组装 About 页
TPL-005	template	kit	联系页三件套参照	../templates/contact-page-example.json	current	-	payload;page;contact	header/info/map/form 真实结构	组装 Contact 页
